Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Total_Delay,Overall_Service_Score
Male,Loyal Customer,38,Business travel,Business,1115.0,4,3,4,2,5,5,5,4,5,3,3,4,5,5,0.0,0.0,satisfied,0.0,4.3
Male,Loyal Customer,51,Personal Travel,Eco,2391.0,3,4,3,5,2,3,1,1,1,0,3,4,0,1,0.0,0.0,neutral or dissatisfied,0.0,1.6
Male,Loyal Customer,49,Business travel,Business,869.0,4,5,3,3,5,4,5,5,5,2,3,3,4,5,0.0,0.0,neutral or dissatisfied,0.0,4.1
Female,Loyal Customer,7,Personal Travel,Eco,1770.0,2,3,2,3,4,3,4,4,4,4,2,1,3,3,32.5,40.0,satisfied,72.5,3.1
Female,Loyal Customer,79,Personal Travel,Eco,490.0,2,4,3,2,0,1,0,0,0,0,3,3,1,0,10.0,4.0,neutral or dissatisfied,14.0,0.9
Female,Loyal Customer,46,Business travel,Eco,2074.0,2,5,3,2,3,2,3,3,3,2,3,4,2,3,1.0,10.0,neutral or dissatisfied,11.0,2.8
Male,Loyal Customer,44,Personal Travel,Eco,677.0,3,4,2,2,2,2,4,3,2,2,3,0,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.5
Male,Loyal Customer,38,Personal Travel,Eco,97.0,4,5,4,3,2,3,2,2,2,1,3,3,2,2,17.0,2.0,neutral or dissatisfied,19.0,2.3
Female,Loyal Customer,36,Business travel,Eco Plus,387.0,3,2,3,3,3,2,5,3,4,3,2,4,4,4,0.0,0.0,satisfied,0.0,3.5
Male,Loyal Customer,57,Business travel,Business,2186.0,4,5,3,2,3,4,4,3,3,5,4,2,3,4,0.0,0.0,neutral or dissatisfied,0.0,3.5
Male,Loyal Customer,25,Business travel,Eco,926.0,3,4,3,3,4,3,4,4,3,2,2,4,3,4,5.0,20.0,neutral or dissatisfied,25.0,3.3
Female,Loyal Customer,45,Business travel,Business,1682.0,3,5,3,1,5,4,5,5,5,3,4,3,5,5,26.0,35.0,satisfied,61.0,4.3
Male,Loyal Customer,63,Business travel,Eco,888.0,3,4,3,3,3,4,3,2,3,2,3,3,3,3,32.5,40.0,neutral or dissatisfied,72.5,2.8
Female,Loyal Customer,43,Business travel,Business,289.0,5,5,5,2,3,4,3,4,3,3,3,4,3,3,6.0,0.0,satisfied,6.0,3.4
Female,Loyal Customer,48,Business travel,Eco,1716.0,1,3,2,2,2,2,1,2,2,2,3,3,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.0
Female,Loyal Customer,19,Business travel,Business,2178.0,3,4,4,2,3,3,2,3,3,3,4,5,3,3,0.0,0.0,satisfied,0.0,3.2
Male,Loyal Customer,52,Business travel,Business,187.0,4,5,4,5,4,4,5,4,3,4,4,2,5,4,25.0,27.0,neutral or dissatisfied,52.0,3.9
Female,Loyal Customer,46,Business travel,Eco Plus,1665.0,1,3,1,2,3,1,4,2,4,2,2,3,3,3,9.0,0.0,neutral or dissatisfied,9.0,2.7
Male,Loyal Customer,38,Personal Travel,Eco,564.0,4,5,4,4,2,4,2,3,2,4,2,3,3,2,2.0,0.0,neutral or dissatisfied,2.0,2.7
Female,disloyal Customer,51,Business travel,Eco Plus,692.0,2,3,2,3,3,2,2,3,2,2,3,2,3,3,32.0,30.0,neutral or dissatisfied,62.0,2.5
Male,Loyal Customer,23,Business travel,Business,922.0,5,4,4,3,4,5,4,3,4,3,2,5,4,4,20.0,13.0,satisfied,33.0,3.8
Female,Loyal Customer,67,Business travel,Business,1134.0,3,4,3,2,3,3,3,3,3,3,2,3,4,4,0.0,0.0,neutral or dissatisfied,0.0,3.1
Male,Loyal Customer,83,Personal Travel,Eco,1356.0,4,4,3,3,2,3,2,2,4,2,5,3,2,2,14.0,15.0,neutral or dissatisfied,29.0,2.8
Female,Loyal Customer,31,Business travel,Business,619.0,5,5,5,3,3,4,4,5,4,4,3,3,4,5,0.0,0.0,satisfied,0.0,4.0
Female,Loyal Customer,58,Business travel,Business,1193.0,3,4,3,2,3,2,3,3,3,3,2,4,3,3,7.0,0.0,neutral or dissatisfied,7.0,3.0
Male,Loyal Customer,38,Business travel,Business,2248.0,4,3,4,3,4,4,5,5,5,5,2,4,5,5,7.0,9.0,satisfied,16.0,4.4
Male,Loyal Customer,22,Business travel,Business,1461.0,5,5,5,2,4,5,5,4,5,3,4,3,4,5,5.0,11.0,neutral or dissatisfied,16.0,4.2
Male,Loyal Customer,59,Personal Travel,Eco,2374.0,3,3,2,3,2,2,2,2,2,2,2,4,1,1,0.0,0.0,satisfied,0.0,2.1
Female,Loyal Customer,36,Business travel,Business,1455.0,5,5,5,4,5,5,5,5,5,4,3,2,4,5,27.0,20.0,satisfied,47.0,4.3
Female,Loyal Customer,49,Business travel,Eco,367.0,2,3,2,2,2,3,3,3,3,2,2,2,3,3,7.0,0.0,neutral or dissatisfied,7.0,2.5
Male,Loyal Customer,69,Business travel,Business,1107.0,5,5,5,3,5,5,5,5,4,4,3,3,4,5,8.0,17.0,neutral or dissatisfied,25.0,4.3
Female,Loyal Customer,48,Personal Travel,Eco Plus,621.0,4,4,4,2,4,4,4,4,5,4,3,3,3,4,1.0,0.0,satisfied,1.0,3.8
Female,Loyal Customer,43,Business travel,Business,473.0,4,4,3,2,3,4,4,3,3,3,4,5,3,4,0.0,0.0,satisfied,0.0,3.6
Male,Loyal Customer,26,Personal Travel,Eco,409.0,2,5,1,2,1,3,2,2,3,2,3,3,3,3,0.0,0.0,satisfied,0.0,2.4
Male,Loyal Customer,26,Business travel,Business,970.0,5,3,4,1,5,4,4,5,5,5,2,4,4,4,0.0,0.0,satisfied,0.0,4.3
Female,Loyal Customer,38,Business travel,Business,1217.0,4,3,4,4,4,3,5,5,5,4,4,3,4,4,2.0,0.0,satisfied,2.0,4.2
Male,Loyal Customer,34,Business travel,Business,408.0,5,4,5,2,2,5,3,3,2,3,3,4,3,3,0.0,0.0,satisfied,0.0,3.1
Male,Loyal Customer,50,Personal Travel,Eco,394.0,3,3,2,3,2,2,1,2,3,1,3,1,2,2,3.0,7.0,neutral or dissatisfied,10.0,2.0
Female,Loyal Customer,24,Personal Travel,Eco,1057.0,3,5,4,2,2,3,2,2,2,2,2,3,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.2
Female,Loyal Customer,28,Business travel,Business,2062.0,5,5,5,4,4,5,5,5,4,3,4,1,5,4,0.0,0.0,satisfied,0.0,4.0
Male,Loyal Customer,38,Business travel,Business,371.0,4,4,4,3,3,4,3,3,4,3,4,5,4,4,0.0,0.0,satisfied,0.0,3.7
Female,Loyal Customer,41,Business travel,Eco,491.0,2,3,2,2,2,3,3,3,2,4,2,2,3,2,32.5,40.0,neutral or dissatisfied,72.5,2.5
Male,Loyal Customer,41,Business travel,Eco,294.0,1,3,1,3,3,2,2,2,2,1,3,4,1,2,0.0,0.0,neutral or dissatisfied,0.0,2.1
Female,Loyal Customer,37,Personal Travel,Eco Plus,464.0,3,2,5,3,4,4,3,4,3,3,3,3,2,4,1.0,15.0,neutral or dissatisfied,16.0,3.2
Female,Loyal Customer,28,Business travel,Eco,206.0,1,4,1,3,3,1,3,2,3,2,2,4,3,2,0.0,0.0,satisfied,0.0,2.5
Female,Loyal Customer,49,Business travel,Business,2678.5,4,4,4,3,4,5,4,4,4,4,5,3,5,5,0.0,0.0,satisfied,0.0,4.2
Female,disloyal Customer,58,Business travel,Business,487.0,3,3,3,4,4,3,3,3,2,2,2,5,3,3,9.0,0.0,neutral or dissatisfied,9.0,3.0
Female,disloyal Customer,45,Business travel,Business,862.0,5,5,5,1,2,4,4,3,3,2,3,3,3,4,0.0,0.0,neutral or dissatisfied,0.0,3.2
Male,Loyal Customer,31,Personal Travel,Eco,665.0,3,4,3,3,3,4,3,3,2,3,4,4,3,3,0.0,0.0,satisfied,0.0,3.1
Male,Loyal Customer,11,Business travel,Eco,100.0,2,3,2,3,2,2,3,2,2,2,4,4,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.5
Female,disloyal Customer,65,Personal Travel,Eco Plus,484.0,4,5,4,3,1,5,3,2,4,2,3,3,2,2,5.0,14.0,neutral or dissatisfied,19.0,2.6
Female,Loyal Customer,37,Business travel,Eco,1577.0,2,4,1,3,2,2,1,1,1,2,4,3,1,1,2.0,0.0,neutral or dissatisfied,2.0,1.8
Female,Loyal Customer,60,Business travel,Business,706.0,5,4,5,5,3,4,3,2,4,3,3,3,4,3,3.0,11.0,satisfied,14.0,3.3
Male,Loyal Customer,65,Business travel,Eco,1451.0,1,2,1,1,2,0,3,3,3,3,3,3,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.7
Female,Loyal Customer,52,Business travel,Business,1182.0,4,4,4,4,5,5,5,5,5,5,3,2,4,5,0.0,0.0,satisfied,0.0,4.3
Male,Loyal Customer,54,Business travel,Eco,985.0,2,2,1,2,2,2,1,2,1,2,5,1,1,1,16.0,9.0,neutral or dissatisfied,25.0,1.8
Female,disloyal Customer,53,Business travel,Eco,89.0,2,4,2,2,3,3,3,2,3,3,4,2,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.8
Male,Loyal Customer,37,Personal Travel,Eco,355.0,1,4,1,3,1,1,2,3,3,3,3,4,1,2,19.0,18.0,neutral or dissatisfied,37.0,2.3
Male,Loyal Customer,23,Business travel,Business,158.0,4,3,3,1,4,4,4,5,4,5,1,3,4,5,13.0,19.0,satisfied,32.0,3.9
Female,Loyal Customer,52,Business travel,Business,1880.0,4,4,3,2,4,3,5,4,4,4,3,3,4,5,0.0,0.0,satisfied,0.0,4.0
Female,Loyal Customer,17,Business travel,Eco,2678.5,4,3,3,3,1,4,2,1,2,1,3,2,2,1,7.0,21.0,satisfied,28.0,1.9
Female,Loyal Customer,34,Business travel,Eco,736.0,2,3,2,3,2,3,1,2,3,3,2,2,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.3
Male,disloyal Customer,30,Business travel,Eco,2678.5,2,4,2,1,3,1,4,4,3,3,5,3,4,3,5.0,0.0,neutral or dissatisfied,5.0,3.4
Male,Loyal Customer,49,Business travel,Eco,811.0,0,2,1,5,2,1,3,3,3,3,3,1,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.4
Male,Loyal Customer,43,Business travel,Business,2096.0,5,5,5,1,3,4,4,4,4,4,1,4,4,4,5.0,0.0,satisfied,5.0,3.7
Male,Loyal Customer,30,Business travel,Business,1664.0,2,2,3,3,5,2,4,4,4,4,3,3,4,4,6.0,17.0,satisfied,23.0,3.7
Male,Loyal Customer,34,Business travel,Eco,116.0,3,2,3,3,3,3,3,2,2,2,5,5,2,3,0.0,0.0,neutral or dissatisfied,0.0,3.0
Male,Loyal Customer,69,Personal Travel,Eco,1697.0,2,5,1,4,4,3,3,3,3,3,4,2,3,2,1.0,4.0,neutral or dissatisfied,5.0,2.9
Male,Loyal Customer,28,Business travel,Eco Plus,2678.5,2,4,2,5,4,3,5,4,3,3,2,5,3,3,0.0,0.0,satisfied,0.0,3.4
Male,Loyal Customer,37,Personal Travel,Eco,1303.0,2,3,3,4,2,2,2,2,2,3,2,4,3,2,17.0,40.0,neutral or dissatisfied,57.0,2.4
Male,Loyal Customer,49,Business travel,Eco,306.0,3,3,3,3,2,3,1,0,2,2,4,3,2,1,17.0,21.0,neutral or dissatisfied,38.0,2.0
Female,Loyal Customer,41,Personal Travel,Eco,933.0,4,4,3,2,2,3,3,3,2,3,4,3,3,3,11.0,16.0,neutral or dissatisfied,27.0,3.0
Male,Loyal Customer,49,Personal Travel,Eco,1908.0,4,5,3,4,2,3,2,2,2,2,5,3,3,3,10.0,23.0,neutral or dissatisfied,33.0,2.8
Female,Loyal Customer,56,Business travel,Eco,809.0,3,5,3,3,2,3,2,2,2,3,2,3,3,2,15.0,16.0,neutral or dissatisfied,31.0,2.4
Female,Loyal Customer,62,Business travel,Business,902.0,3,4,3,3,5,4,5,5,5,3,2,5,5,4,1.0,6.0,satisfied,7.0,4.2
Female,Loyal Customer,41,Business travel,Eco,1470.0,2,2,2,3,2,2,2,3,2,1,3,2,2,3,6.0,1.0,neutral or dissatisfied,7.0,2.2
Female,Loyal Customer,46,Business travel,Business,1162.0,3,3,4,2,4,4,5,4,5,4,2,4,4,4,0.0,0.0,satisfied,0.0,3.9
Female,Loyal Customer,43,Business travel,Business,323.0,3,3,4,2,5,3,5,5,5,4,2,4,5,5,20.0,10.0,satisfied,30.0,4.3
Male,disloyal Customer,27,Business travel,Business,1705.0,4,5,4,2,3,4,5,5,4,5,3,3,5,5,1.0,7.0,neutral or dissatisfied,8.0,4.2
Female,Loyal Customer,43,Personal Travel,Eco,2678.5,3,4,3,5,2,3,3,3,3,3,1,3,2,3,8.0,17.0,satisfied,25.0,2.6
Female,Loyal Customer,15,Business travel,Business,1230.0,4,3,5,4,3,4,4,4,4,4,4,3,4,4,32.5,40.0,satisfied,72.5,3.8
Female,Loyal Customer,46,Personal Travel,Business,318.0,4,5,5,3,4,5,4,4,3,3,4,3,4,4,0.0,0.0,satisfied,0.0,3.7
Female,Loyal Customer,8,Business travel,Eco,839.0,2,3,3,2,1,2,3,2,1,0,5,3,3,2,12.0,6.0,neutral or dissatisfied,18.0,2.2
Female,disloyal Customer,25,Business travel,Business,487.0,5,5,5,4,4,5,5,5,4,5,2,2,5,5,22.0,20.0,neutral or dissatisfied,42.0,4.2
Male,Loyal Customer,53,Business travel,Business,655.0,5,4,4,2,4,3,4,5,3,4,4,2,3,4,0.0,0.0,satisfied,0.0,3.8
Male,Loyal Customer,47,Business travel,Business,1147.0,4,5,4,2,4,3,3,3,4,4,4,4,4,2,0.0,0.0,satisfied,0.0,3.6
Male,Loyal Customer,40,Business travel,Eco,1395.0,3,3,2,2,2,3,4,3,2,3,3,3,4,3,3.0,0.0,satisfied,3.0,3.0
Male,Loyal Customer,33,Business travel,Eco,388.0,4,4,3,3,3,4,4,3,4,4,3,3,4,3,5.0,0.0,neutral or dissatisfied,5.0,3.5
Female,Loyal Customer,27,Business travel,Eco,645.0,3,3,1,3,1,1,3,3,0,1,2,4,2,3,0.0,0.0,satisfied,0.0,2.2
Male,disloyal Customer,31,Business travel,Eco,218.0,2,4,2,3,3,3,3,3,2,2,4,3,3,3,1.0,0.0,neutral or dissatisfied,1.0,2.8
Female,Loyal Customer,50,Personal Travel,Eco,940.0,1,3,3,3,4,1,3,4,3,2,2,3,2,3,10.0,30.0,neutral or dissatisfied,40.0,2.7
Female,Loyal Customer,36,Business travel,Business,1465.0,4,4,4,4,5,3,4,4,4,4,4,3,5,3,0.0,0.0,satisfied,0.0,4.0
Male,Loyal Customer,9,Personal Travel,Eco Plus,1199.0,2,5,2,4,2,2,3,3,3,2,3,3,3,2,3.0,0.0,neutral or dissatisfied,3.0,2.6
Female,Loyal Customer,22,Business travel,Business,312.0,3,3,4,3,5,3,5,5,4,5,2,5,5,5,0.0,0.0,satisfied,0.0,4.4
Male,Loyal Customer,28,Business travel,Business,1996.0,5,5,5,3,4,5,5,4,5,4,2,4,4,3,32.5,40.0,neutral or dissatisfied,72.5,4.0
Male,Loyal Customer,36,Business travel,Business,1155.0,4,5,4,5,4,4,4,5,5,4,3,4,4,4,0.0,0.0,neutral or dissatisfied,0.0,4.1
Female,Loyal Customer,36,Personal Travel,Eco Plus,336.0,2,5,2,3,4,2,3,3,4,2,2,1,4,3,11.0,0.0,neutral or dissatisfied,11.0,2.8
Female,disloyal Customer,24,Business travel,Business,2301.0,5,4,4,3,4,5,4,5,4,4,3,3,5,4,2.0,0.0,neutral or dissatisfied,2.0,4.1
Female,disloyal Customer,49,Business travel,Business,1139.0,5,5,5,2,4,5,4,4,5,4,1,5,4,4,0.0,0.0,satisfied,0.0,4.0
Female,Loyal Customer,10,Personal Travel,Eco,1262.0,3,5,4,3,1,4,2,2,0,3,4,4,2,2,0.0,0.0,satisfied,0.0,2.3
Female,Loyal Customer,29,Personal Travel,Eco Plus,609.0,3,5,2,3,5,3,4,5,4,3,4,3,4,5,0.0,0.0,neutral or dissatisfied,0.0,4.0
Male,Loyal Customer,52,Personal Travel,Eco,1851.0,3,5,2,4,2,2,3,2,2,3,5,3,2,2,0.0,0.0,satisfied,0.0,2.7
Female,Loyal Customer,48,Personal Travel,Eco,832.0,4,5,4,2,3,3,3,3,2,2,4,5,4,4,0.0,0.0,neutral or dissatisfied,0.0,3.4
Female,Loyal Customer,36,Business travel,Business,2275.0,4,5,4,3,5,4,3,4,5,3,4,3,3,4,0.0,0.0,satisfied,0.0,3.8
Male,Loyal Customer,54,Personal Travel,Eco,31.0,2,2,2,3,3,2,4,3,4,3,3,3,3,3,7.0,8.0,neutral or dissatisfied,15.0,3.1
Male,Loyal Customer,44,Business travel,Business,1263.0,4,5,4,3,4,5,4,4,5,3,3,3,4,5,16.0,5.0,satisfied,21.0,3.9
Female,Loyal Customer,41,Personal Travel,Eco,765.0,2,2,2,4,2,2,2,2,3,2,1,4,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.2
Male,Loyal Customer,49,Business travel,Eco Plus,1118.0,5,5,5,2,2,4,1,2,1,0,3,2,1,1,8.0,0.0,neutral or dissatisfied,8.0,1.8
Male,disloyal Customer,46,Business travel,Business,253.0,4,2,4,2,3,4,3,4,3,3,3,4,3,4,5.0,0.0,satisfied,5.0,3.4
Male,Loyal Customer,60,Business travel,Eco,713.0,2,5,2,3,3,1,3,3,3,3,4,1,3,4,0.0,0.0,neutral or dissatisfied,0.0,2.9
Female,Loyal Customer,36,Personal Travel,Eco,2678.5,2,3,2,4,1,3,0,1,1,0,4,3,1,1,32.5,40.0,neutral or dissatisfied,72.5,1.4
Male,Loyal Customer,36,Business travel,Business,751.0,5,5,4,4,3,5,4,3,4,3,1,4,3,3,19.0,17.0,satisfied,36.0,3.3
Male,Loyal Customer,43,Personal Travel,Eco,1566.0,0,3,1,2,1,0,0,1,1,0,3,3,1,0,0.0,0.0,neutral or dissatisfied,0.0,1.0
Female,disloyal Customer,40,Business travel,Business,619.0,5,4,4,2,3,5,2,2,2,2,2,3,2,3,11.0,10.0,satisfied,21.0,2.6
Female,Loyal Customer,68,Business travel,Business,1925.0,4,5,5,3,4,4,5,5,5,4,5,3,4,5,10.0,19.0,satisfied,29.0,4.4
Male,Loyal Customer,48,Business travel,Business,1348.0,3,4,4,2,2,4,3,2,3,4,3,3,4,2,4.0,0.0,satisfied,4.0,2.9
Female,disloyal Customer,29,Business travel,Eco,145.0,1,2,1,2,2,1,3,2,3,2,4,4,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.6
Male,Loyal Customer,18,Business travel,Business,643.0,5,5,5,3,4,4,5,5,5,4,5,4,5,5,0.0,0.0,satisfied,0.0,4.7
