id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
15,Male,Loyal Customer,62,Business travel,Eco,878,3,4,2,0,3,2,3,3,3,3,5,2,2,3,2,0.0,neutral or dissatisfied
16,Female,Loyal Customer,84,Business travel,Business,2086,4,5,5,3,3,5,4,3,4,4,3,4,4,4,0,0.0,satisfied
17,Female,Loyal Customer,47,Business travel,Business,1655,3,5,4,5,3,4,3,3,3,3,4,1,3,3,28,23.0,neutral or dissatisfied
18,Female,Loyal Customer,14,Business travel,Eco,458,5,4,4,4,1,3,0,1,0,2,2,4,2,1,5,9.0,neutral or dissatisfied
19,Female,disloyal Customer,36,Personal Travel,Eco,726,3,3,4,2,2,4,3,3,2,2,3,2,3,2,0,0.0,satisfied
20,Female,Loyal Customer,66,Business travel,Business,1862,4,5,3,4,3,4,3,4,4,3,2,4,4,3,1,18.0,satisfied
21,Male,Loyal Customer,37,Personal Travel,Eco,1057,1,2,0,3,2,0,2,1,3,1,1,3,3,1,0,0.0,neutral or dissatisfied
22,Male,Loyal Customer,52,Personal Travel,Eco,825,2,3,1,3,2,2,3,2,3,0,4,2,2,3,1,0.0,satisfied
23,Female,disloyal Customer,52,Business travel,Business,1964,4,5,4,5,3,5,3,3,3,2,3,4,3,4,0,0.0,satisfied
24,Female,disloyal Customer,29,Business travel,Business,1863,2,1,2,4,3,2,3,4,3,2,2,4,3,4,1,5.0,satisfied
25,Male,Loyal Customer,68,Personal Travel,Eco,530,2,3,3,3,3,3,3,4,4,4,4,4,4,3,0,0.0,neutral or dissatisfied
26,Female,Loyal Customer,46,Business travel,Eco,2425,2,2,2,4,4,3,4,4,2,5,3,3,4,4,0,0.0,satisfied
27,Male,Loyal Customer,40,Business travel,Business,1606,4,4,4,3,5,4,4,4,5,5,4,3,5,5,0,0.0,satisfied
28,Male,Loyal Customer,38,Business travel,Eco Plus,701,2,4,3,2,3,2,3,2,2,3,3,1,3,3,20,25.0,neutral or dissatisfied
29,Female,Loyal Customer,22,Personal Travel,Eco,1161,2,4,3,2,2,2,1,2,2,2,3,4,2,2,0,0.0,neutral or dissatisfied
30,Female,Loyal Customer,28,Business travel,Eco,1554,2,2,3,4,3,2,3,3,4,3,5,3,3,3,8,9.0,neutral or dissatisfied
31,Male,Loyal Customer,25,Business travel,Business,233,5,3,5,3,4,5,3,3,3,2,1,3,2,2,16,22.0,neutral or dissatisfied
32,Male,disloyal Customer,74,Business travel,Business,2207,4,5,3,2,4,4,4,4,3,4,4,4,4,4,1,19.0,neutral or dissatisfied
33,Male,Loyal Customer,56,Personal Travel,Eco,749,2,2,2,4,1,1,3,3,2,3,2,4,3,2,13,4.0,neutral or dissatisfied
34,Female,Loyal Customer,25,Business travel,Eco,727,3,4,3,3,1,3,3,2,3,3,4,4,2,2,5,0.0,neutral or dissatisfied
35,Female,Loyal Customer,68,Personal Travel,Eco,1027,1,4,1,4,3,1,3,4,4,3,3,2,3,3,0,0.0,neutral or dissatisfied
36,Female,Loyal Customer,60,Business travel,Eco Plus,107,4,5,4,2,3,4,3,3,3,2,1,2,3,3,0,0.0,neutral or dissatisfied
37,Male,Loyal Customer,30,Business travel,Eco,1390,2,2,2,3,1,2,1,1,1,1,3,4,1,1,17,9.0,neutral or dissatisfied
38,Female,Loyal Customer,48,Business travel,Business,2371,5,3,4,3,4,4,3,3,3,3,3,3,4,4,4,0.0,satisfied
39,Male,Loyal Customer,30,Business travel,Eco,886,2,5,1,3,2,2,2,2,2,1,4,5,2,2,3,9.0,neutral or dissatisfied
40,Female,Loyal Customer,55,Business travel,Business,1306,5,5,4,2,5,4,5,5,5,5,5,3,4,5,0,0.0,satisfied
41,Male,Loyal Customer,47,Personal Travel,Eco,272,4,5,4,3,3,4,2,2,4,3,5,2,3,3,0,0.0,neutral or dissatisfied
42,Male,disloyal Customer,34,Business travel,Business,251,5,5,5,3,4,4,5,5,4,3,3,4,4,4,0,0.0,satisfied
43,Male,Loyal Customer,21,Personal Travel,Business,71,4,4,3,3,5,3,5,4,5,5,4,3,5,5,14,3.0,satisfied
44,Female,Loyal Customer,39,Business travel,Eco,756,1,2,3,1,3,2,3,3,3,3,5,3,3,4,44,56.0,neutral or dissatisfied
45,Female,disloyal Customer,47,Business travel,Business,1549,5,5,5,3,4,5,5,5,4,5,1,5,4,5,0,0.0,neutral or dissatisfied
46,Female,Loyal Customer,60,Business travel,Business,860,5,5,5,3,4,4,2,4,4,3,5,3,4,4,5,6.0,satisfied
47,Male,Loyal Customer,49,Personal Travel,Eco,358,2,3,2,2,2,2,2,2,1,3,4,3,2,2,19,9.0,neutral or dissatisfied
48,Male,Loyal Customer,54,Business travel,Business,1787,4,5,5,3,3,5,4,4,4,3,3,3,3,5,0,0.0,satisfied
49,Female,Loyal Customer,29,Business travel,Business,571,2,3,4,1,5,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
50,Female,Loyal Customer,10,Business travel,Eco,1609,2,3,2,3,3,2,2,3,2,4,5,2,2,3,5,0.0,neutral or dissatisfied
51,Male,Loyal Customer,15,Business travel,Eco Plus,1713,3,2,4,3,4,3,3,4,5,4,1,2,5,4,0,0.0,neutral or dissatisfied
52,Male,Loyal Customer,36,Business travel,Eco Plus,670,3,5,1,2,4,3,4,5,4,3,3,4,4,4,8,12.0,neutral or dissatisfied
53,Male,Loyal Customer,28,Personal Travel,Eco,996,1,1,1,2,2,0,2,3,3,1,3,5,2,3,0,0.0,neutral or dissatisfied
54,Male,Loyal Customer,38,Business travel,Business,1115,4,3,4,2,5,5,5,4,5,3,3,4,5,5,0,0.0,satisfied
55,Male,Loyal Customer,51,Personal Travel,Eco,2391,3,4,3,5,2,3,1,1,1,0,3,4,0,1,0,0.0,neutral or dissatisfied
56,Male,Loyal Customer,49,Business travel,Business,869,4,5,3,3,5,4,5,5,5,2,3,3,4,5,0,0.0,neutral or dissatisfied
57,Female,Loyal Customer,7,Personal Travel,Eco,1770,2,3,2,3,4,3,4,4,4,4,2,1,3,3,95,106.0,satisfied
58,Female,Loyal Customer,79,Personal Travel,Eco,490,2,4,3,2,0,1,0,0,0,0,3,3,1,0,10,4.0,neutral or dissatisfied
59,Female,Loyal Customer,46,Business travel,Eco,2074,2,5,3,2,3,2,3,3,3,2,3,4,2,3,1,10.0,neutral or dissatisfied
60,Male,Loyal Customer,44,Personal Travel,Eco,677,3,4,2,2,2,2,4,3,2,2,3,0,3,3,0,0.0,neutral or dissatisfied
61,Male,Loyal Customer,38,Personal Travel,Eco,97,4,5,4,3,2,3,2,2,2,1,3,3,2,2,17,2.0,neutral or dissatisfied
62,Female,Loyal Customer,36,Business travel,Eco Plus,387,3,2,3,3,3,2,5,3,4,3,2,4,4,4,0,0.0,satisfied
63,Male,Loyal Customer,57,Business travel,Business,2186,4,5,3,2,3,4,4,3,3,5,4,2,3,4,0,0.0,neutral or dissatisfied
64,Male,Loyal Customer,25,Business travel,Eco,926,3,4,3,3,4,3,4,4,3,2,2,4,3,4,5,20.0,neutral or dissatisfied
65,Female,Loyal Customer,45,Business travel,Business,1682,3,5,3,1,5,4,5,5,5,3,4,3,5,5,26,35.0,satisfied
66,Male,Loyal Customer,63,Business travel,Eco,888,3,4,3,3,3,4,3,2,3,2,3,3,3,3,41,58.0,neutral or dissatisfied
67,Female,Loyal Customer,43,Business travel,Business,289,5,5,5,2,3,4,3,4,3,3,3,4,3,3,6,0.0,satisfied
68,Female,Loyal Customer,48,Business travel,Eco,1716,1,3,2,2,2,2,1,2,2,2,3,3,2,2,0,0.0,neutral or dissatisfied
69,Female,Loyal Customer,19,Business travel,Business,2178,3,4,4,2,3,3,2,3,3,3,4,5,3,3,0,0.0,satisfied
70,Male,Loyal Customer,52,Business travel,Business,187,4,5,4,5,4,4,5,4,3,4,4,2,5,4,25,27.0,neutral or dissatisfied
71,Female,Loyal Customer,46,Business travel,Eco Plus,1665,1,3,1,2,3,1,4,2,4,2,2,3,3,3,9,0.0,neutral or dissatisfied
72,Male,Loyal Customer,38,Personal Travel,Eco,564,4,5,4,4,2,4,2,3,2,4,2,3,3,2,2,0.0,neutral or dissatisfied
73,Female,disloyal Customer,51,Business travel,Eco Plus,692,2,3,2,3,3,2,2,3,2,2,3,2,3,3,32,30.0,neutral or dissatisfied
74,Male,Loyal Customer,23,Business travel,Business,922,5,4,4,3,4,5,4,3,4,3,2,5,4,4,20,13.0,satisfied
75,Female,Loyal Customer,67,Business travel,Business,1134,3,4,3,2,3,3,3,3,3,3,2,3,4,4,0,0.0,neutral or dissatisfied
76,Male,Loyal Customer,83,Personal Travel,Eco,1356,4,4,3,3,2,3,2,2,4,2,5,3,2,2,14,15.0,neutral or dissatisfied
77,Female,Loyal Customer,31,Business travel,Business,619,5,5,5,3,3,4,4,5,4,4,3,3,4,5,0,0.0,satisfied
78,Female,Loyal Customer,58,Business travel,Business,1193,3,4,3,2,3,2,3,3,3,3,2,4,3,3,7,0.0,neutral or dissatisfied
79,Male,Loyal Customer,38,Business travel,Business,2248,4,3,4,3,4,4,5,5,5,5,2,4,5,5,7,9.0,satisfied
80,Male,Loyal Customer,22,Business travel,Business,1461,5,5,5,2,4,5,5,4,5,3,4,3,4,5,5,11.0,neutral or dissatisfied
81,Male,Loyal Customer,59,Personal Travel,Eco,2374,3,3,2,3,2,2,2,2,2,2,2,4,1,1,0,0.0,satisfied
82,Female,Loyal Customer,36,Business travel,Business,1455,5,5,5,4,5,5,5,5,5,4,3,2,4,5,27,20.0,satisfied
83,Female,Loyal Customer,49,Business travel,Eco,367,2,3,2,2,2,3,3,3,3,2,2,2,3,3,7,0.0,neutral or dissatisfied
84,Male,Loyal Customer,69,Business travel,Business,1107,5,5,5,3,5,5,5,5,4,4,3,3,4,5,8,17.0,neutral or dissatisfied
85,Female,Loyal Customer,48,Personal Travel,Eco Plus,621,4,4,4,2,4,4,4,4,5,4,3,3,3,4,1,0.0,satisfied
86,Female,Loyal Customer,43,Business travel,Business,473,4,4,3,2,3,4,4,3,3,3,4,5,3,4,0,0.0,satisfied
87,Male,Loyal Customer,26,Personal Travel,Eco,409,2,5,1,2,1,3,2,2,3,2,3,3,3,3,0,0.0,satisfied
88,Male,Loyal Customer,26,Business travel,Business,970,5,3,4,1,5,4,4,5,5,5,2,4,4,4,0,0.0,satisfied
89,Female,Loyal Customer,38,Business travel,Business,1217,4,3,4,4,4,3,5,5,5,4,4,3,4,4,2,0.0,satisfied
90,Male,Loyal Customer,34,Business travel,Business,408,5,4,5,2,2,5,3,3,2,3,3,4,3,3,0,0.0,satisfied
91,Male,Loyal Customer,50,Personal Travel,Eco,394,3,3,2,3,2,2,1,2,3,1,3,1,2,2,3,7.0,neutral or dissatisfied
92,Female,Loyal Customer,24,Personal Travel,Eco,1057,3,5,4,2,2,3,2,2,2,2,2,3,2,2,0,0.0,neutral or dissatisfied
93,Female,Loyal Customer,28,Business travel,Business,2062,5,5,5,4,4,5,5,5,4,3,4,1,5,4,0,0.0,satisfied
94,Male,Loyal Customer,38,Business travel,Business,371,4,4,4,3,3,4,3,3,4,3,4,5,4,4,0,0.0,satisfied
95,Female,Loyal Customer,41,Business travel,Eco,491,2,3,2,2,2,3,3,3,2,4,2,2,3,2,119,116.0,neutral or dissatisfied
96,Male,Loyal Customer,41,Business travel,Eco,294,1,3,1,3,3,2,2,2,2,1,3,4,1,2,0,0.0,neutral or dissatisfied
97,Female,Loyal Customer,37,Personal Travel,Eco Plus,464,3,2,5,3,4,4,3,4,3,3,3,3,2,4,1,15.0,neutral or dissatisfied
98,Female,Loyal Customer,28,Business travel,Eco,206,1,4,1,3,3,1,3,2,3,2,2,4,3,2,0,0.0,satisfied
99,Female,Loyal Customer,49,Business travel,Business,3872,4,4,4,3,4,5,4,4,4,4,5,3,5,5,0,0.0,satisfied
100,Female,disloyal Customer,58,Business travel,Business,487,3,3,3,4,4,3,3,3,2,2,2,5,3,3,9,0.0,neutral or dissatisfied
101,Female,disloyal Customer,45,Business travel,Business,862,5,5,5,1,2,4,4,3,3,2,3,3,3,4,0,0.0,neutral or dissatisfied
102,Male,Loyal Customer,31,Personal Travel,Eco,665,3,4,3,3,3,4,3,3,2,3,4,4,3,3,0,0.0,satisfied
103,Male,Loyal Customer,11,Business travel,Eco,100,2,3,2,3,2,2,3,2,2,2,4,4,2,2,0,0.0,neutral or dissatisfied
104,Female,disloyal Customer,65,Personal Travel,Eco Plus,484,4,5,4,3,1,5,3,2,4,2,3,3,2,2,5,14.0,neutral or dissatisfied
105,Female,Loyal Customer,37,Business travel,Eco,1577,2,4,1,3,2,2,1,1,1,2,4,3,1,1,2,0.0,neutral or dissatisfied
106,Female,Loyal Customer,60,Business travel,Business,706,5,4,5,5,3,4,3,2,4,3,3,3,4,3,3,11.0,satisfied
107,Male,Loyal Customer,65,Business travel,Eco,1451,1,2,1,1,2,0,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
108,Female,Loyal Customer,52,Business travel,Business,1182,4,4,4,4,5,5,5,5,5,5,3,2,4,5,0,0.0,satisfied
109,Male,Loyal Customer,54,Business travel,Eco,985,2,2,1,2,2,2,1,2,1,2,5,1,1,1,16,9.0,neutral or dissatisfied
110,Female,disloyal Customer,53,Business travel,Eco,89,2,4,2,2,3,3,3,2,3,3,4,2,3,3,0,0.0,neutral or dissatisfied
111,Male,Loyal Customer,37,Personal Travel,Eco,355,1,4,1,3,1,1,2,3,3,3,3,4,1,2,19,18.0,neutral or dissatisfied
112,Male,Loyal Customer,23,Business travel,Business,158,4,3,3,1,4,4,4,5,4,5,1,3,4,5,13,19.0,satisfied
113,Female,Loyal Customer,52,Business travel,Business,1880,4,4,3,2,4,3,5,4,4,4,3,3,4,5,0,0.0,satisfied
114,Female,Loyal Customer,17,Business travel,Eco,2791,4,3,3,3,1,4,2,1,2,1,3,2,2,1,7,21.0,satisfied
115,Female,Loyal Customer,34,Business travel,Eco,736,2,3,2,3,2,3,1,2,3,3,2,2,3,3,0,0.0,neutral or dissatisfied
116,Male,disloyal Customer,30,Business travel,Eco,3045,2,4,2,1,3,1,4,4,3,3,5,3,4,3,5,0.0,neutral or dissatisfied
117,Male,Loyal Customer,49,Business travel,Eco,811,0,2,1,5,2,1,3,3,3,3,3,1,3,3,0,0.0,neutral or dissatisfied
118,Male,Loyal Customer,43,Business travel,Business,2096,5,5,5,1,3,4,4,4,4,4,1,4,4,4,5,0.0,satisfied
119,Male,Loyal Customer,30,Business travel,Business,1664,2,2,3,3,5,2,4,4,4,4,3,3,4,4,6,17.0,satisfied
120,Male,Loyal Customer,34,Business travel,Eco,116,3,2,3,3,3,3,3,2,2,2,5,5,2,3,0,0.0,neutral or dissatisfied
121,Male,Loyal Customer,69,Personal Travel,Eco,1697,2,5,1,4,4,3,3,3,3,3,4,2,3,2,1,4.0,neutral or dissatisfied
122,Male,Loyal Customer,28,Business travel,Eco Plus,3266,2,4,2,5,4,3,5,4,3,3,2,5,3,3,0,0.0,satisfied
123,Male,Loyal Customer,37,Personal Travel,Eco,1303,2,3,3,4,2,2,2,2,2,3,2,4,3,2,17,42.0,neutral or dissatisfied
124,Male,Loyal Customer,49,Business travel,Eco,306,3,3,3,3,2,3,1,0,2,2,4,3,2,1,17,21.0,neutral or dissatisfied
125,Female,Loyal Customer,41,Personal Travel,Eco,933,4,4,3,2,2,3,3,3,2,3,4,3,3,3,11,16.0,neutral or dissatisfied
126,Male,Loyal Customer,49,Personal Travel,Eco,1908,4,5,3,4,2,3,2,2,2,2,5,3,3,3,10,23.0,neutral or dissatisfied
127,Female,Loyal Customer,56,Business travel,Eco,809,3,5,3,3,2,3,2,2,2,3,2,3,3,2,15,16.0,neutral or dissatisfied
128,Female,Loyal Customer,62,Business travel,Business,902,3,4,3,3,5,4,5,5,5,3,2,5,5,4,1,6.0,satisfied
129,Female,Loyal Customer,41,Business travel,Eco,1470,2,2,2,3,2,2,2,3,2,1,3,2,2,3,6,1.0,neutral or dissatisfied
130,Female,Loyal Customer,46,Business travel,Business,1162,3,3,4,2,4,4,5,4,5,4,2,4,4,4,0,0.0,satisfied
131,Female,Loyal Customer,43,Business travel,Business,323,3,3,4,2,5,3,5,5,5,4,2,4,5,5,20,10.0,satisfied
132,Male,disloyal Customer,27,Business travel,Business,1705,4,5,4,2,3,4,5,5,4,5,3,3,5,5,1,7.0,neutral or dissatisfied
133,Female,Loyal Customer,43,Personal Travel,Eco,4277,3,4,3,5,2,3,3,3,3,3,1,3,2,3,8,17.0,satisfied
134,Female,Loyal Customer,15,Business travel,Business,1230,4,3,5,4,3,4,4,4,4,4,4,3,4,4,41,53.0,satisfied
135,Female,Loyal Customer,46,Personal Travel,Business,318,4,5,5,3,4,5,4,4,3,3,4,3,4,4,0,0.0,satisfied
136,Female,Loyal Customer,8,Business travel,Eco,839,2,3,3,2,1,2,3,2,1,0,5,3,3,2,12,6.0,neutral or dissatisfied
137,Female,disloyal Customer,25,Business travel,Business,487,5,5,5,4,4,5,5,5,4,5,2,2,5,5,22,20.0,neutral or dissatisfied
138,Male,Loyal Customer,53,Business travel,Business,655,5,4,4,2,4,3,4,5,3,4,4,2,3,4,0,0.0,satisfied
139,Male,Loyal Customer,47,Business travel,Business,1147,4,5,4,2,4,3,3,3,4,4,4,4,4,2,0,0.0,satisfied
140,Male,Loyal Customer,40,Business travel,Eco,1395,3,3,2,2,2,3,4,3,2,3,3,3,4,3,3,0.0,satisfied
141,Male,Loyal Customer,33,Business travel,Eco,388,4,4,3,3,3,4,4,3,4,4,3,3,4,3,5,0.0,neutral or dissatisfied
142,Female,Loyal Customer,27,Business travel,Eco,645,3,3,1,3,1,1,3,3,0,1,2,4,2,3,0,0.0,satisfied
143,Male,disloyal Customer,31,Business travel,Eco,218,2,4,2,3,3,3,3,3,2,2,4,3,3,3,1,0.0,neutral or dissatisfied
144,Female,Loyal Customer,50,Personal Travel,Eco,940,1,3,3,3,4,1,3,4,3,2,2,3,2,3,10,30.0,neutral or dissatisfied
145,Female,Loyal Customer,36,Business travel,Business,1465,4,4,4,4,5,3,4,4,4,4,4,3,5,3,0,,satisfied
146,Male,Loyal Customer,9,Personal Travel,Eco Plus,1199,2,5,2,4,2,2,3,3,3,2,3,3,3,2,3,0.0,neutral or dissatisfied
147,Female,Loyal Customer,22,Business travel,Business,312,3,3,4,3,5,3,5,5,4,5,2,5,5,5,0,0.0,satisfied
148,Male,Loyal Customer,28,Business travel,Business,1996,5,5,5,3,4,5,5,4,5,4,2,4,4,3,111,119.0,neutral or dissatisfied
149,Male,Loyal Customer,36,Business travel,Business,1155,4,5,4,5,4,4,4,5,5,4,3,4,4,4,0,0.0,neutral or dissatisfied
150,Female,Loyal Customer,36,Personal Travel,Eco Plus,336,2,5,2,3,4,2,3,3,4,2,2,1,4,3,11,0.0,neutral or dissatisfied
151,Female,disloyal Customer,24,Business travel,Business,2301,5,4,4,3,4,5,4,5,4,4,3,3,5,4,2,0.0,neutral or dissatisfied
152,Female,disloyal Customer,49,Business travel,Business,1139,5,5,5,2,4,5,4,4,5,4,1,5,4,4,0,0.0,satisfied
153,Female,Loyal Customer,10,Personal Travel,Eco,1262,3,5,4,3,1,4,2,2,0,3,4,4,2,2,0,0.0,satisfied
154,Female,Loyal Customer,29,Personal Travel,Eco Plus,609,3,5,2,3,5,3,4,5,4,3,4,3,4,5,0,0.0,neutral or dissatisfied
155,Male,Loyal Customer,52,Personal Travel,Eco,1851,3,5,2,4,2,2,3,2,2,3,5,3,2,2,0,0.0,satisfied
156,Female,Loyal Customer,48,Personal Travel,Eco,832,4,5,4,2,3,3,3,3,2,2,4,5,4,4,0,0.0,neutral or dissatisfied
157,Female,Loyal Customer,36,Business travel,Business,2275,4,5,4,3,5,4,3,4,5,3,4,3,3,4,0,0.0,satisfied
158,Male,Loyal Customer,54,Personal Travel,Eco,31,2,2,2,3,3,2,4,3,4,3,3,3,3,3,7,8.0,neutral or dissatisfied
159,Male,Loyal Customer,44,Business travel,Business,1263,4,5,4,3,4,5,4,4,5,3,3,3,4,5,16,5.0,satisfied
160,Female,Loyal Customer,41,Personal Travel,Eco,765,2,2,2,4,2,2,2,2,3,2,1,4,2,2,0,0.0,neutral or dissatisfied
161,Male,Loyal Customer,49,Business travel,Eco Plus,1118,5,5,5,2,2,4,1,2,1,0,3,2,1,1,8,0.0,neutral or dissatisfied
162,Male,disloyal Customer,46,Business travel,Business,253,4,2,4,2,3,4,3,4,3,3,3,4,3,4,5,0.0,satisfied
163,Male,Loyal Customer,60,Business travel,Eco,713,2,5,2,3,3,1,3,3,3,3,4,1,3,4,0,0.0,neutral or dissatisfied
164,Female,Loyal Customer,36,Personal Travel,Eco,2738,2,3,2,4,1,3,0,1,1,0,4,3,1,1,38,47.0,neutral or dissatisfied
165,Male,Loyal Customer,36,Business travel,Business,751,5,5,4,4,3,5,4,3,4,3,1,4,3,3,19,17.0,satisfied
166,Male,Loyal Customer,43,Personal Travel,Eco,1566,0,3,1,2,1,0,0,1,1,0,3,3,1,0,0,0.0,neutral or dissatisfied
167,Female,disloyal Customer,40,Business travel,Business,619,5,4,4,2,3,5,2,2,2,2,2,3,2,3,11,10.0,satisfied
168,Female,Loyal Customer,68,Business travel,Business,1925,4,5,5,3,4,4,5,5,5,4,5,3,4,5,10,19.0,satisfied
169,Male,Loyal Customer,48,Business travel,Business,1348,3,4,4,2,2,4,3,2,3,4,3,3,4,2,4,0.0,satisfied
170,Female,disloyal Customer,29,Business travel,Eco,145,1,2,1,2,2,1,3,2,3,2,4,4,3,2,0,0.0,neutral or dissatisfied
171,Male,Loyal Customer,18,Business travel,Business,643,5,5,5,3,4,4,5,5,5,4,5,4,5,5,0,0.0,satisfied
172,Male,Loyal Customer,64,Personal Travel,Business,1268,5,5,3,4,3,4,4,4,4,3,4,4,3,4,27,37.0,neutral or dissatisfied
173,Female,Loyal Customer,34,Business travel,Eco Plus,2039,3,4,4,2,3,3,3,3,4,3,3,5,3,3,8,12.0,satisfied
174,Female,disloyal Customer,45,Business travel,Business,1405,3,3,4,2,5,3,4,3,3,4,3,4,4,3,3,11.0,neutral or dissatisfied
175,Male,Loyal Customer,40,Business travel,Business,610,2,3,2,0,3,2,4,4,4,4,5,4,5,4,0,0.0,neutral or dissatisfied
176,Female,Loyal Customer,52,Personal Travel,Eco,513,2,1,0,4,2,2,2,2,3,2,3,4,2,2,0,0.0,satisfied
177,Male,Loyal Customer,32,Business travel,Business,917,4,2,4,4,3,4,3,4,3,3,2,1,5,3,3,2.0,satisfied
178,Female,disloyal Customer,42,Personal Travel,Eco,540,2,3,1,3,1,2,1,2,3,2,3,1,1,2,0,0.0,neutral or dissatisfied
179,Female,disloyal Customer,32,Business travel,Business,1320,4,3,4,1,4,5,5,5,5,5,4,5,4,5,5,10.0,satisfied
180,Male,Loyal Customer,82,Personal Travel,Eco,229,4,5,4,4,5,4,4,3,3,2,2,4,3,4,0,0.0,neutral or dissatisfied
181,Female,disloyal Customer,29,Business travel,Eco,467,0,1,0,4,3,0,3,3,3,3,4,3,3,3,0,0.0,neutral or dissatisfied
182,Male,disloyal Customer,48,Personal Travel,Eco,388,1,2,2,2,0,2,0,0,1,0,3,2,1,0,0,0.0,satisfied
183,Female,Loyal Customer,83,Personal Travel,Eco,1062,2,3,2,4,4,2,3,2,2,4,3,2,4,3,0,0.0,neutral or dissatisfied
184,Male,Loyal Customer,56,Personal Travel,Eco Plus,1593,2,4,3,2,1,3,2,2,2,1,3,4,2,2,16,31.0,neutral or dissatisfied
185,Female,Loyal Customer,40,Business travel,Eco,1130,4,5,3,4,2,4,1,2,1,3,4,3,3,1,31,38.0,neutral or dissatisfied
186,Male,Loyal Customer,43,Personal Travel,Eco,2862,2,3,2,2,2,2,2,2,3,2,3,3,2,3,2,0.0,neutral or dissatisfied
187,Female,Loyal Customer,28,Business travel,Eco,1350,2,4,3,3,3,2,3,4,3,3,4,2,3,4,14,,neutral or dissatisfied
188,Female,Loyal Customer,65,Business travel,Business,1098,4,5,4,3,4,5,4,3,4,4,4,2,3,4,0,0.0,neutral or dissatisfied
189,Female,Loyal Customer,37,Business travel,Business,1214,5,5,5,3,5,5,5,5,4,4,4,2,5,4,13,4.0,satisfied
190,Female,Loyal Customer,39,Business travel,Business,349,5,5,5,2,2,5,4,2,3,1,2,4,3,2,0,0.0,satisfied
191,Female,disloyal Customer,27,Business travel,Business,2998,4,4,5,3,4,3,4,5,4,4,3,3,5,4,11,24.0,satisfied
192,Female,Loyal Customer,35,Business travel,Eco,215,3,3,4,4,3,2,3,4,4,2,5,3,3,4,0,0.0,neutral or dissatisfied
193,Female,Loyal Customer,41,Business travel,Eco Plus,1352,3,3,3,5,2,2,2,3,3,3,3,2,2,3,20,29.0,neutral or dissatisfied
194,Female,disloyal Customer,56,Business travel,Business,2084,4,3,4,3,5,4,5,4,4,4,2,3,3,4,5,0.0,satisfied
195,Male,Loyal Customer,44,Business travel,Eco,211,4,5,3,3,3,3,3,3,4,3,3,3,3,4,0,0.0,neutral or dissatisfied
196,Male,Loyal Customer,56,Personal Travel,Eco Plus,722,3,5,3,2,2,3,2,3,2,3,3,3,3,3,0,0.0,satisfied
