Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Total_Delay,Overall_Service_Score,Class_encoded,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel
14,-0.4267877412031782,5,4,4,4,1,3,0,1,0,2,2,4,2,1,0.15384615384615385,0.5,neutral or dissatisfied,14.0,1.8,0.0,0.0,0.0,0.0
36,-0.12258796821793416,3,3,4,2,2,4,3,3,2,2,3,2,3,2,-0.23076923076923078,-0.0625,satisfied,0.0,2.5,0.0,0.0,1.0,1.0
66,1.166855845629966,4,5,3,4,3,4,3,4,4,3,2,4,4,3,-0.15384615384615385,1.0625,satisfied,19.0,3.4,2.0,0.0,0.0,0.0
37,0.25312145289443816,1,2,0,3,2,0,2,1,3,1,1,3,3,1,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,1.8,0.0,1.0,0.0,1.0
52,-0.01021566401816118,2,3,1,3,2,2,3,2,3,0,4,2,2,3,-0.15384615384615385,-0.0625,satisfied,1.0,2.3,0.0,1.0,0.0,1.0
52,1.282633371169126,4,5,4,5,3,5,3,3,3,2,3,4,3,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.2,2.0,0.0,1.0,0.0
29,1.1679909194097617,2,1,2,4,3,2,3,4,3,2,2,4,3,4,-0.15384615384615385,0.25,satisfied,6.0,3.0,2.0,0.0,1.0,0.0
68,-0.34506242905788875,2,3,3,3,3,3,3,4,4,4,4,4,4,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.5,0.0,1.0,0.0,1.0
46,1.8059023836549375,2,2,2,4,4,3,4,4,2,5,3,3,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.5,0.0,0.0,0.0,0.0
40,0.8762769580022701,4,4,4,3,5,4,4,4,5,5,4,3,5,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.4,2.0,1.0,0.0,0.0
38,-0.15096481271282633,2,4,3,2,3,2,3,2,2,3,3,1,3,3,1.3076923076923077,1.5,neutral or dissatisfied,45.0,2.5,1.0,1.0,0.0,0.0
22,0.3711691259931896,2,4,3,2,2,2,1,2,2,2,3,4,2,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.2,0.0,0.0,0.0,1.0
28,0.8172531214528944,2,2,3,4,3,2,3,3,4,3,5,3,3,3,0.38461538461538464,0.5,neutral or dissatisfied,17.0,3.2,0.0,0.0,0.0,0.0
25,-0.6821793416572077,5,3,5,3,4,5,3,3,3,2,1,3,2,2,1.0,1.3125,neutral or dissatisfied,38.0,2.8,2.0,1.0,0.0,0.0
74,1.558456299659478,4,5,3,2,4,4,4,4,3,4,4,4,4,4,-0.15384615384615385,1.125,neutral or dissatisfied,20.0,3.9,2.0,1.0,1.0,0.0
56,-0.09648127128263337,2,2,2,4,1,1,3,3,2,3,2,4,3,2,0.7692307692307693,0.1875,neutral or dissatisfied,17.0,2.5,0.0,1.0,0.0,1.0
25,-0.12145289443813848,3,4,3,3,1,3,3,2,3,3,4,4,2,2,0.15384615384615385,-0.0625,neutral or dissatisfied,5.0,2.7,0.0,0.0,0.0,0.0
68,0.21906923950056753,1,4,1,4,3,1,3,4,4,3,3,2,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.9,0.0,0.0,0.0,1.0
60,-0.8251986379114642,4,5,4,2,3,4,3,3,3,2,1,2,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.7,1.0,0.0,0.0,0.0
30,0.6311010215664018,2,2,2,3,1,2,1,1,1,1,3,4,1,1,1.0769230769230769,0.5,neutral or dissatisfied,26.0,1.6,0.0,1.0,0.0,0.0
48,1.7446083995459705,5,3,4,3,4,4,3,3,3,3,3,3,4,4,0.07692307692307693,-0.0625,satisfied,4.0,3.5,2.0,0.0,0.0,0.0
30,0.05902383654937571,2,5,1,3,2,2,2,2,2,1,4,5,2,2,0.0,0.5,neutral or dissatisfied,12.0,2.4,0.0,1.0,0.0,0.0
55,0.5357548240635641,5,5,4,2,5,4,5,5,5,5,5,3,4,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.7,2.0,0.0,0.0,0.0
47,-0.637911464245176,4,5,4,3,3,4,2,2,4,3,5,2,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.1,0.0,1.0,0.0,1.0
34,-0.6617480136208853,5,5,5,3,4,4,5,5,4,3,3,4,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,4.1,2.0,1.0,1.0,0.0
21,-0.8660612939841089,4,4,3,3,5,3,5,4,5,5,4,3,5,5,0.8461538461538461,0.125,satisfied,17.0,4.5,2.0,1.0,0.0,1.0
39,-0.08853575482406356,1,2,3,1,3,2,3,3,3,3,5,3,3,4,2.269230769230769,2.4375,neutral or dissatisfied,72.5,3.1,0.0,0.0,0.0,0.0
47,0.811577752553916,5,5,5,3,4,5,5,5,4,5,1,5,4,5,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,4.3,2.0,0.0,1.0,0.0
60,0.029511918274687854,5,5,5,3,4,4,2,4,4,3,5,3,4,4,0.15384615384615385,0.3125,satisfied,11.0,3.8,2.0,0.0,0.0,0.0
49,-0.5402951191827469,2,3,2,2,2,2,2,2,1,3,4,3,2,2,1.2307692307692308,0.5,neutral or dissatisfied,28.0,2.3,0.0,1.0,0.0,1.0
54,1.0817253121452894,4,5,5,3,3,5,4,4,4,3,3,3,3,5,-0.23076923076923078,-0.0625,satisfied,0.0,3.6,2.0,1.0,0.0,0.0
29,-0.2985244040862656,2,3,4,1,5,4,4,4,4,4,4,3,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.8,2.0,0.0,0.0,0.0
10,0.8796821793416572,2,3,2,3,3,2,2,3,2,4,5,2,2,3,0.15384615384615385,-0.0625,neutral or dissatisfied,5.0,2.8,0.0,0.0,0.0,0.0
15,0.9977298524404086,3,2,4,3,4,3,3,4,5,4,1,2,5,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.5,1.0,1.0,0.0,0.0
36,-0.18615209988649262,3,5,1,2,4,3,4,5,4,3,3,4,4,4,0.38461538461538464,0.6875,neutral or dissatisfied,20.0,3.8,1.0,1.0,0.0,0.0
28,0.18388195232690124,1,1,1,2,2,0,2,3,3,1,3,5,2,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.5,0.0,1.0,0.0,1.0
38,0.318955732122588,4,3,4,2,5,5,5,4,5,3,3,4,5,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.3,2.0,1.0,0.0,0.0
51,1.7673098751418843,3,4,3,5,2,3,1,1,1,0,3,4,0,1,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,1.6,0.0,1.0,0.0,1.0
49,0.039727582292849034,4,5,3,3,5,4,5,5,5,2,3,3,4,5,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,4.1,2.0,1.0,0.0,0.0
7,1.0624290578887627,2,3,2,3,4,3,4,4,4,4,2,1,3,3,2.269230769230769,2.4375,satisfied,72.5,3.1,0.0,0.0,0.0,1.0
79,-0.3904653802497162,2,4,3,2,0,1,0,0,0,0,3,3,1,0,0.5384615384615384,0.1875,neutral or dissatisfied,14.0,0.9,0.0,0.0,0.0,1.0
46,1.4074914869466515,2,5,3,2,3,2,3,3,3,2,3,4,2,3,-0.15384615384615385,0.5625,neutral or dissatisfied,11.0,2.8,0.0,0.0,0.0,0.0
44,-0.1782065834279228,3,4,2,2,2,2,4,3,2,2,3,0,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.5,0.0,1.0,0.0,1.0
38,-0.8365493757094211,4,5,4,3,2,3,2,2,2,1,3,3,2,2,1.0769230769230769,0.0625,neutral or dissatisfied,19.0,2.3,0.0,1.0,0.0,1.0
36,-0.5073779795686719,3,2,3,3,3,2,5,3,4,3,2,4,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.5,1.0,0.0,0.0,0.0
57,1.5346197502837684,4,5,3,2,3,4,4,3,3,5,4,2,3,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.5,2.0,1.0,0.0,0.0
25,0.10442678774120318,3,4,3,3,4,3,4,4,3,2,2,4,3,4,0.15384615384615385,1.1875,neutral or dissatisfied,25.0,3.3,0.0,1.0,0.0,0.0
45,0.9625425652667423,3,5,3,1,5,4,5,5,5,3,4,3,5,5,1.7692307692307692,2.125,satisfied,61.0,4.3,2.0,0.0,0.0,0.0
63,0.06129398410896708,3,4,3,3,3,4,3,2,3,2,3,3,3,3,2.269230769230769,2.4375,neutral or dissatisfied,72.5,2.8,0.0,1.0,0.0,0.0
43,-0.6186152099886493,5,5,5,2,3,4,3,4,3,3,3,4,3,3,0.23076923076923078,-0.0625,satisfied,6.0,3.4,2.0,0.0,0.0,0.0
48,1.0011350737797957,1,3,2,2,2,2,1,2,2,2,3,3,2,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.0,0.0,0.0,0.0,0.0
19,1.525539160045403,3,4,4,2,3,3,2,3,3,3,4,5,3,3,-0.23076923076923078,-0.0625,satisfied,0.0,3.2,2.0,0.0,0.0,0.0
52,-0.7343927355278093,4,5,4,5,4,4,5,4,3,4,4,2,5,4,1.6923076923076923,1.625,neutral or dissatisfied,52.0,3.9,2.0,1.0,0.0,0.0
46,0.9432463110102156,1,3,1,2,3,1,4,2,4,2,2,3,3,3,0.46153846153846156,-0.0625,neutral or dissatisfied,9.0,2.7,1.0,0.0,0.0,0.0
38,-0.3064699205448354,4,5,4,4,2,4,2,3,2,4,2,3,3,2,-0.07692307692307693,-0.0625,neutral or dissatisfied,2.0,2.7,0.0,1.0,0.0,1.0
51,-0.1611804767309875,2,3,2,3,3,2,2,3,2,2,3,2,3,3,2.230769230769231,1.8125,neutral or dissatisfied,62.0,2.5,1.0,0.0,1.0,0.0
23,0.09988649262202043,5,4,4,3,4,5,4,3,4,3,2,5,4,4,1.3076923076923077,0.75,satisfied,33.0,3.8,2.0,1.0,0.0,0.0
67,0.340522133938706,3,4,3,2,3,3,3,3,3,3,2,3,4,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.1,2.0,0.0,0.0,0.0
83,0.5925085130533485,4,4,3,3,2,3,2,2,4,2,5,3,2,2,0.8461538461538461,0.875,neutral or dissatisfied,29.0,2.8,0.0,1.0,0.0,1.0
31,-0.24404086265607264,5,5,5,3,3,4,4,5,4,4,3,3,4,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.0,2.0,0.0,0.0,0.0
58,0.40749148694665155,3,4,3,2,3,2,3,3,3,3,2,4,3,3,0.3076923076923077,-0.0625,neutral or dissatisfied,7.0,3.0,2.0,0.0,0.0,0.0
38,1.604994324631101,4,3,4,3,4,4,5,5,5,5,2,4,5,5,0.3076923076923077,0.5,satisfied,16.0,4.4,2.0,1.0,0.0,0.0
22,0.7116912599318955,5,5,5,2,4,5,5,4,5,3,4,3,4,5,0.15384615384615385,0.625,neutral or dissatisfied,16.0,4.2,2.0,1.0,0.0,0.0
59,1.7480136208853576,3,3,2,3,2,2,2,2,2,2,2,4,1,1,-0.23076923076923078,-0.0625,satisfied,0.0,2.1,0.0,1.0,0.0,1.0
36,0.7048808172531215,5,5,5,4,5,5,5,5,5,4,3,2,4,5,1.8461538461538463,1.1875,satisfied,47.0,4.3,2.0,0.0,0.0,0.0
49,-0.5300794551645857,2,3,2,2,2,3,3,3,3,2,2,2,3,3,0.3076923076923077,-0.0625,neutral or dissatisfied,7.0,2.5,0.0,0.0,0.0,0.0
69,0.3098751418842225,5,5,5,3,5,5,5,5,4,4,3,3,4,5,0.38461538461538464,1.0,neutral or dissatisfied,25.0,4.3,2.0,1.0,0.0,0.0
48,-0.24177071509648126,4,4,4,2,4,4,4,4,5,4,3,3,3,4,-0.15384615384615385,-0.0625,satisfied,1.0,3.8,1.0,0.0,0.0,1.0
43,-0.4097616345062429,4,4,3,2,3,4,4,3,3,3,4,5,3,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.6,2.0,0.0,0.0,0.0
26,-0.48240635641316687,2,5,1,2,1,3,2,2,3,2,3,3,3,3,-0.23076923076923078,-0.0625,satisfied,0.0,2.4,0.0,1.0,0.0,1.0
26,0.1543700340522134,5,3,4,1,5,4,4,5,5,5,2,4,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,4.3,2.0,1.0,0.0,0.0
38,0.43473325766174803,4,3,4,4,4,3,5,5,5,4,4,3,4,4,-0.07692307692307693,-0.0625,satisfied,2.0,4.2,2.0,0.0,0.0,0.0
34,-0.48354143019296253,5,4,5,2,2,5,3,3,2,3,3,4,3,3,-0.23076923076923078,-0.0625,satisfied,0.0,3.1,2.0,1.0,0.0,0.0
50,-0.49943246311010214,3,3,2,3,2,2,1,2,3,1,3,1,2,2,0.0,0.375,neutral or dissatisfied,10.0,2.0,0.0,1.0,0.0,1.0
24,0.25312145289443816,3,5,4,2,2,3,2,2,2,2,2,3,2,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.2,0.0,0.0,0.0,1.0
28,1.3938706015891034,5,5,5,4,4,5,5,5,4,3,4,1,5,4,-0.23076923076923078,-0.0625,satisfied,0.0,4.0,2.0,0.0,0.0,0.0
38,-0.5255391600454029,4,4,4,3,3,4,3,3,4,3,4,5,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.7,2.0,1.0,0.0,0.0
41,-0.38933030646992056,2,3,2,2,2,3,3,3,2,4,2,2,3,2,2.269230769230769,2.4375,neutral or dissatisfied,72.5,2.5,0.0,0.0,0.0,0.0
41,-0.6129398410896708,1,3,1,3,3,2,2,2,2,1,3,4,1,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.1,0.0,1.0,0.0,0.0
37,-0.4199772985244041,3,2,5,3,4,4,3,4,3,3,3,3,2,4,-0.15384615384615385,0.875,neutral or dissatisfied,16.0,3.2,1.0,0.0,0.0,1.0
28,-0.7128263337116912,1,4,1,3,3,1,3,2,3,2,2,4,3,2,-0.23076923076923078,-0.0625,satisfied,0.0,2.5,0.0,0.0,0.0,0.0
49,2.093643586833144,4,4,4,3,4,5,4,4,4,4,5,3,5,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.2,2.0,0.0,0.0,0.0
58,-0.3938706015891033,3,3,3,4,4,3,3,3,2,2,2,5,3,3,0.46153846153846156,-0.0625,neutral or dissatisfied,9.0,3.0,2.0,0.0,1.0,0.0
45,0.03178206583427923,5,5,5,1,2,4,4,3,3,2,3,3,3,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.2,2.0,0.0,1.0,0.0
31,-0.19182746878547105,3,4,3,3,3,4,3,3,2,3,4,4,3,3,-0.23076923076923078,-0.0625,satisfied,0.0,3.1,0.0,1.0,0.0,1.0
11,-0.8331441543700341,2,3,2,3,2,2,3,2,2,2,4,4,2,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.5,0.0,1.0,0.0,0.0
65,-0.39727582292849034,4,5,4,3,1,5,3,2,4,2,3,3,2,2,0.15384615384615385,0.8125,neutral or dissatisfied,19.0,2.6,1.0,0.0,1.0,1.0
37,0.8433598183881952,2,4,1,3,2,2,1,1,1,2,4,3,1,1,-0.07692307692307693,-0.0625,neutral or dissatisfied,2.0,1.8,0.0,0.0,0.0,0.0
60,-0.1452894438138479,5,4,5,5,3,4,3,2,4,3,3,3,4,3,0.0,0.625,satisfied,14.0,3.3,2.0,0.0,0.0,0.0
65,0.7003405221339387,1,2,1,1,2,0,3,3,3,3,3,3,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.7,0.0,1.0,0.0,0.0
52,0.39500567536889897,4,4,4,4,5,5,5,5,5,5,3,2,4,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.3,2.0,0.0,0.0,0.0
54,0.1713961407491487,2,2,1,2,2,2,1,2,1,2,5,1,1,1,1.0,0.5,neutral or dissatisfied,25.0,1.8,0.0,1.0,0.0,0.0
53,-0.8456299659477866,2,4,2,2,3,3,3,2,3,3,4,2,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.8,0.0,0.0,1.0,0.0
37,-0.5437003405221339,1,4,1,3,1,1,2,3,3,3,3,4,1,2,1.2307692307692308,1.0625,neutral or dissatisfied,37.0,2.3,0.0,1.0,0.0,1.0
23,-0.7673098751418842,4,3,3,1,4,4,4,5,4,5,1,3,4,5,0.7692307692307693,1.125,satisfied,32.0,3.9,2.0,1.0,0.0,0.0
52,1.1872871736662882,4,4,3,2,4,3,5,4,4,4,3,3,4,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.0,2.0,0.0,0.0,0.0
17,2.093643586833144,4,3,3,3,1,4,2,1,2,1,3,2,2,1,0.3076923076923077,1.25,satisfied,28.0,1.9,0.0,0.0,0.0,0.0
34,-0.1112372304199773,2,3,2,3,2,3,1,2,3,3,2,2,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.3,0.0,0.0,0.0,0.0
30,2.093643586833144,2,4,2,1,3,1,4,4,3,3,5,3,4,3,0.15384615384615385,-0.0625,neutral or dissatisfied,5.0,3.4,0.0,1.0,1.0,0.0
49,-0.026106696935300794,0,2,1,5,2,1,3,3,3,3,3,1,3,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.4,0.0,1.0,0.0,0.0
43,1.4324631101021565,5,5,5,1,3,4,4,4,4,4,1,4,4,4,0.15384615384615385,-0.0625,satisfied,5.0,3.7,2.0,1.0,0.0,0.0
30,0.94211123723042,2,2,3,3,5,2,4,4,4,4,3,3,4,4,0.23076923076923078,1.0,satisfied,23.0,3.7,2.0,1.0,0.0,0.0
34,-0.8149829738933031,3,2,3,3,3,3,3,2,2,2,5,5,2,3,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.0,0.0,1.0,0.0,0.0
69,0.9795686719636776,2,5,1,4,4,3,3,3,3,3,4,2,3,2,-0.15384615384615385,0.1875,neutral or dissatisfied,5.0,2.9,0.0,1.0,0.0,1.0
28,2.093643586833144,2,4,2,5,4,3,5,4,3,3,2,5,3,3,-0.23076923076923078,-0.0625,satisfied,0.0,3.4,1.0,1.0,0.0,0.0
37,0.5323496027241771,2,3,3,4,2,2,2,2,2,3,2,4,3,2,1.0769230769230769,2.4375,neutral or dissatisfied,57.0,2.4,0.0,1.0,0.0,1.0
49,-0.5993189557321226,3,3,3,3,2,3,1,0,2,2,4,3,2,1,1.0769230769230769,1.25,neutral or dissatisfied,38.0,2.0,0.0,1.0,0.0,0.0
41,0.11237230419977298,4,4,3,2,2,3,3,3,2,3,4,3,3,3,0.6153846153846154,0.9375,neutral or dissatisfied,27.0,3.0,0.0,0.0,0.0,1.0
49,1.2190692395005676,4,5,3,4,2,3,2,2,2,2,5,3,3,3,0.5384615384615384,1.375,neutral or dissatisfied,33.0,2.8,0.0,1.0,0.0,1.0
56,-0.028376844494892167,3,5,3,3,2,3,2,2,2,3,2,3,3,2,0.9230769230769231,0.9375,neutral or dissatisfied,31.0,2.4,0.0,0.0,0.0,0.0
62,0.0771850170261067,3,4,3,3,5,4,5,5,5,3,2,5,5,4,-0.15384615384615385,0.3125,satisfied,7.0,4.2,2.0,0.0,0.0,0.0
41,0.7219069239500567,2,2,2,3,2,2,2,3,2,1,3,2,2,3,0.23076923076923078,0.0,neutral or dissatisfied,7.0,2.2,0.0,0.0,0.0,0.0
46,0.37230419977298523,3,3,4,2,4,4,5,4,5,4,2,4,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.9,2.0,0.0,0.0,0.0
43,-0.5800227014755959,3,3,4,2,5,3,5,5,5,4,2,4,5,5,1.3076923076923077,0.5625,satisfied,30.0,4.3,2.0,0.0,0.0,0.0
27,0.9886492622020431,4,5,4,2,3,4,5,5,4,5,3,3,5,5,-0.15384615384615385,0.375,neutral or dissatisfied,8.0,4.2,2.0,1.0,1.0,0.0
43,2.093643586833144,3,4,3,5,2,3,3,3,3,3,1,3,2,3,0.38461538461538464,1.0,satisfied,25.0,2.6,0.0,0.0,0.0,1.0
15,0.44948921679909193,4,3,5,4,3,4,4,4,4,4,4,3,4,4,2.269230769230769,2.4375,satisfied,72.5,3.8,2.0,0.0,0.0,0.0
46,-0.5856980703745743,4,5,5,3,4,5,4,4,3,3,4,3,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.7,2.0,0.0,0.0,1.0
8,0.0056753688989784334,2,3,3,2,1,2,3,2,1,0,5,3,3,2,0.6923076923076923,0.3125,neutral or dissatisfied,18.0,2.2,0.0,0.0,0.0,0.0
25,-0.3938706015891033,5,5,5,4,4,5,5,5,4,5,2,2,5,5,1.4615384615384615,1.1875,neutral or dissatisfied,42.0,4.2,2.0,0.0,1.0,0.0
53,-0.20317820658342792,5,4,4,2,4,3,4,5,3,4,4,2,3,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.8,2.0,1.0,0.0,0.0
47,0.35527809307604996,4,5,4,2,4,3,3,3,4,4,4,4,4,2,-0.23076923076923078,-0.0625,satisfied,0.0,3.6,2.0,1.0,0.0,0.0
40,0.6367763904653803,3,3,2,2,2,3,4,3,2,3,3,3,4,3,0.0,-0.0625,satisfied,3.0,3.0,0.0,1.0,0.0,0.0
33,-0.5062429057888763,4,4,3,3,3,4,4,3,4,4,3,3,4,3,0.15384615384615385,-0.0625,neutral or dissatisfied,5.0,3.5,0.0,1.0,0.0,0.0
27,-0.21452894438138478,3,3,1,3,1,1,3,3,0,1,2,4,2,3,-0.23076923076923078,-0.0625,satisfied,0.0,2.2,0.0,0.0,0.0,0.0
31,-0.699205448354143,2,4,2,3,3,3,3,3,2,2,4,3,3,3,-0.15384615384615385,-0.0625,neutral or dissatisfied,1.0,2.8,0.0,1.0,1.0,0.0
50,0.12031782065834279,1,3,3,3,4,1,3,4,3,2,2,3,2,3,0.5384615384615384,1.8125,neutral or dissatisfied,40.0,2.7,0.0,0.0,0.0,1.0
36,0.7162315550510783,4,4,4,4,5,3,4,4,4,4,4,3,5,3,-0.23076923076923078,-0.0625,satisfied,0.0,4.0,2.0,0.0,0.0,0.0
9,0.41430192962542567,2,5,2,4,2,2,3,3,3,2,3,3,3,2,0.0,-0.0625,neutral or dissatisfied,3.0,2.6,1.0,1.0,0.0,1.0
22,-0.5925085130533485,3,3,4,3,5,3,5,5,4,5,2,5,5,5,-0.23076923076923078,-0.0625,satisfied,0.0,4.4,2.0,0.0,0.0,0.0
28,1.318955732122588,5,5,5,3,4,5,5,4,5,4,2,4,4,3,2.269230769230769,2.4375,neutral or dissatisfied,72.5,4.0,2.0,1.0,0.0,0.0
36,0.36435868331441545,4,5,4,5,4,4,4,5,5,4,3,4,4,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,4.1,2.0,1.0,0.0,0.0
36,-0.565266742338252,2,5,2,3,4,2,3,3,4,2,2,1,4,3,0.6153846153846154,-0.0625,neutral or dissatisfied,11.0,2.8,1.0,0.0,0.0,1.0
24,1.6651532349602725,5,4,4,3,4,5,4,5,4,4,3,3,5,4,-0.07692307692307693,-0.0625,neutral or dissatisfied,2.0,4.1,2.0,0.0,1.0,0.0
49,0.34619750283768447,5,5,5,2,4,5,4,4,5,4,1,5,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,4.0,2.0,0.0,1.0,0.0
10,0.4858115777525539,3,5,4,3,1,4,2,2,0,3,4,4,2,2,-0.23076923076923078,-0.0625,satisfied,0.0,2.3,0.0,0.0,0.0,1.0
29,-0.25539160045402953,3,5,2,3,5,3,4,5,4,3,4,3,4,5,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,4.0,1.0,0.0,0.0,1.0
52,1.1543700340522134,3,5,2,4,2,2,3,2,2,3,5,3,2,2,-0.23076923076923078,-0.0625,satisfied,0.0,2.7,0.0,1.0,0.0,1.0
48,-0.0022701475595913734,4,5,4,2,3,3,3,3,2,2,4,5,4,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.4,0.0,0.0,0.0,1.0
36,1.6356413166855845,4,5,4,3,5,4,3,4,5,3,4,3,3,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.8,2.0,0.0,0.0,0.0
